NEWID,ID,GROUP,SCORE,GROUPSIZE,YEAR,GROUPSIZECHANGE,SEX
1,MGGY,BWY,8,8,2015,0,F
2,MRGO,BWY,6,8,2015,0,F
3,BOMV,BWY,3,8,2015,0,F
4,MVVT,BWY,3,8,2015,0,F
5,BMBY,BWY,4,8,2015,0,M
7,MXWB,FMR,5,12,2015,-2,F
9,MXXMMM,FMR,5,12,2015,-2,M
12,RYMR,FMR,3,12,2015,-2,M
13,XXXX FEMALE KMO,KMO,10,3,2015,1,F
14,GRYM,KMO,10,3,2015,1,F
15,MXXRRB,LHP,4,6,2015,-2,M
16,OMGO,MBG,4,7,2015,-1,F
17,RMYG,MBG,6,7,2015,-1,M
18,VYMY,MBG,10,7,2015,-1,M
19,ROMO,MBG,6,7,2015,-1,M
20,XXXX MALE MBG,MBG,3,7,2015,-1,M
21,MRYY,MBG,3,7,2015,-1,M
22,RMXGMX,NH,10,7,2015,1,F
23,YMXPBX,NH,7,7,2015,1,F
24,MMXYYX,NH,7,7,2015,1,F
27,MBXMGX,NH,5,7,2015,1,M
28,XXXX MALE NH,NH,4,7,2015,1,M
29,YGRMXX,PR,10,3,2015,1,F
30,XXXX FEMALE PR,PR,3,3,2015,1,F
31,VVVM,RVD,10,6,2015,0,F
32,MXWW,RVD,10,6,2015,0,M
33,GMYY,RVD,9,6,2015,0,M
34,MXXGRY,SS,7,6,2015,-1,F
35,XXXX FEMALE  SS,SS,6,6,2015,-1,F
36,XXXX FEMALE 2 SS,SS,4,6,2015,-1,F
37,MXXGYY,SS,6,6,2015,-1,M
38,MYRV,SS,10,6,2015,-1,M
1,MGGY,BWY,10,8,2018,0,F
2,MRGO,BWY,4,8,2018,0,F
3,BOMV,BWY,3,8,2018,0,F
4,MVVT,BWY,3,8,2018,0,F
5,BMBY,BWY,4,8,2018,0,M
7,MXWB,FMR,3,10,2018,-2,F
9,MXXMMM,FMR,4,10,2018,-2,M
12,RYMR,FMR,3,10,2018,-2,M
13,XXXX FEMALE KMO,KMO,9,4,2018,1,F
14,GRYM,KMO,7,4,2018,1,F
15,MXXRRB,LHP,6,4,2018,-2,M
16,OMGO,MBG,9,6,2018,-1,F
17,RMYG,MBG,10,6,2018,-1,M
18,VYMY,MBG,10,6,2018,-1,M
19,ROMO,MBG,10,6,2018,-1,M
20,XXXX MALE MBG,MBG,3,6,2018,-1,M
21,MRYY,MBG,5,6,2018,-1,M
22,RMXGMX,NH,4,8,2018,1,F
23,YMXPBX,NH,3,8,2018,1,F
24,MMXYYX,NH,5,8,2018,1,F
27,MBXMGX,NH,3,8,2018,1,M
28,XXXX MALE NH,NH,3,8,2018,1,M
29,YGRMXX,PR,10,4,2018,1,F
30,XXXX FEMALE PR,PR,4,4,2018,1,F
31,VVVM,RVD,10,6,2018,0,F
32,MXWW,RVD,5,6,2018,0,M
33,GMYY,RVD,3,6,2018,0,M
34,MXXGRY,SS,10,5,2018,-1,F
35,XXXX FEMALE  SS,SS,10,5,2018,-1,F
36,XXXX FEMALE 2 SS,SS,10,5,2018,-1,F
37,MXXGYY,SS,3,5,2018,-1,M
38,MYRV,SS,3,5,2018,-1,M
